"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Peddapalli","qanc",7.1,1.5,70.7,7.6,1.3,76.1,0.002166
"Peddapalli","sob",4.3,1.3,42.9,4.6,1.3,45.9,0.050365
"Peddapalli","tb",5.1,2.1,50.5,5.9,2.1,58.7,0.000894
"Rajanna Sircilla","ane",6.5,2,64.9,7.1,2.1,70.7,0.029042
"Rajanna Sircilla","aph",6.1,2.2,60.8,7,2.4,69.6,0.004517
"Rajanna Sircilla","epi",4.7,1.7,47.3,5.7,1.6,56.7,8e-06
"Rajanna Sircilla","gdm",4.3,1.3,43.3,5.7,1.6,56.8,1e-06
"Rajanna Sircilla","hrt",6.7,2.3,67.1,7.1,2.1,70.5,0.214107
"Rajanna Sircilla","htn",6.5,1.8,65.2,6.9,2,68.9,0.151153
"Rajanna Sircilla","jau",4.1,1.7,40.5,6.3,1.6,63.3,0
"Rajanna Sircilla","lscs",7.4,2,74.2,8,2.2,80,0.026967
"Rajanna Sircilla","qanc",7.1,1.6,71.4,7.8,1.4,77.9,0.000909
"Rajanna Sircilla","sob",5.9,1.8,58.6,6.7,1.8,66.9,0.000182
"Rajanna Sircilla","tb",5.2,2.1,52,5.4,2,53.6,0.527831
"Rangareddy","ane",6.3,1.9,62.7,7.6,2.1,75.6,0
"Rangareddy","aph",6.1,2.4,60.7,7.7,2.4,76.9,0
"Rangareddy","epi",4.8,1.6,48.3,5.5,1.6,55.3,0
"Rangareddy","gdm",4.7,1.8,46.7,6.8,2.3,68.2,0
"Rangareddy","hrt",7.1,2.1,71.5,7.4,1.9,73.5,0.172133
"Rangareddy","htn",6.5,2.2,65.4,7.7,2.1,77.1,0
"Rangareddy","jau",3.8,1.4,37.7,6.4,1.9,64,0
"Rangareddy","lscs",7.6,2.2,76.3,8.1,1.9,81.1,0.002176
"Rangareddy","qanc",7,1.8,69.6,8,1.6,80,0
"Rangareddy","sob",6.3,1.6,62.8,6.8,1.8,68.4,1.2e-05
"Rangareddy","tb",5.8,2.1,57.6,5.9,2,58.8,0.46666
"Sangareddy","ane",6.3,1.9,62.7,8.1,1.7,81.1,0
"Sangareddy","aph",6.2,2,62.4,8.7,1.8,87.3,0
"Sangareddy","epi",4.5,1.7,45.2,6.1,1.7,61.2,0
"Sangareddy","gdm",4.5,1.5,45.2,8.1,1.9,80.9,0
"Sangareddy","hrt",6.4,2.2,63.7,7.1,1.9,71.3,1e-06
"Sangareddy","htn",6.7,1.8,66.8,8.5,1.7,84.8,0
"Sangareddy","jau",3.4,1.4,34.1,6.2,1.8,61.8,0
"Sangareddy","lscs",6.9,2.1,68.6,7.4,2,74,0.000595
"Sangareddy","qanc",6.8,1.6,68.3,8.2,1.5,81.9,0
"Sangareddy","sob",6.2,1.8,61.7,6.7,1.8,66.8,0.000309
"Sangareddy","tb",4.6,1.9,46.2,5.5,1.9,54.7,0
"Siddipet","ane",6.5,2.1,65,9,1.3,90.5,0
"Siddipet","aph",6.5,2.1,64.6,9.4,1.1,94.5,0
"Siddipet","gdm",4.5,1.6,45.4,9.2,1.3,91.5,0
"Siddipet","htn",7.2,1.8,72,9.6,0.8,96,0
"Siddipet","qanc",7.2,1.6,72.2,8.4,1.6,83.8,0
"Suryapet","ane",7,1.6,69.8,8.4,1.5,83.5,0
"Suryapet","aph",7.1,1.8,70.7,8.7,1.3,86.8,0
"Suryapet","gdm",4.7,1.5,46.6,6.7,1.7,66.6,0
"Suryapet","htn",7.4,1.5,74.1,8.5,1.5,85,0
"Suryapet","qanc",7.2,1.4,72.3,8.8,1.1,87.7,0
"Vikarabad","ane",5.8,2,57.8,6.3,1.9,63.3,0.015194
